监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
镇江职教中心,43,优,26 μg/m3,42 μg/m3,
中山紫马岭,90,良,67 μg/m3,96 μg/m3,PM2.5
中山张溪,86,良,61 μg/m3,120 μg/m3,PM10
中山华柏园,85,良,63 μg/m3,93 μg/m3,PM2.5
中山长江旅游区,82,良,61 μg/m3,85 μg/m3,PM2.5
中卫环保局站,9,优,6 μg/m3,-,
中卫沙坡头消防站,4,优,3 μg/m3,-,
中卫官桥站,16,优,11 μg/m3,14 μg/m3,
周口市运管处,47,优,15 μg/m3,46 μg/m3,
周口师范,39,优,19 μg/m3,38 μg/m3,
周口川汇区环保局,28,优,17 μg/m3,27 μg/m3,
周口市环境监测站,-,-,-,-,-
舟山临城新区,31,优,13 μg/m3,30 μg/m3,
舟山定海檀枫,27,优,12 μg/m3,26 μg/m3,
舟山普陀东港,24,优,12 μg/m3,24 μg/m3,
诸暨富林印务,43,优,28 μg/m3,42 μg/m3,
诸暨图书馆,36,优,25 μg/m3,32 μg/m3,
枣庄薛城环保局,93,良,70 μg/m3,118 μg/m3,PM2.5
枣庄山亭区环保局,82,良,61 μg/m3,80 μg/m3,PM2.5
枣庄峄城区政府,64,良,34 μg/m3,77 μg/m3,PM10
枣庄市中区政府,63,良,42 μg/m3,74 μg/m3,PM10
枣庄台儿庄区环保局,-,-,-,-,-
驻马店市一纸厂,49,优,24 μg/m3,48 μg/m3,
驻马店天方二分厂,47,优,26 μg/m3,46 μg/m3,
驻马店市彩印厂,41,优,27 μg/m3,40 μg/m3,
株洲市四中,63,良,34 μg/m3,74 μg/m3,PM10
株洲云田中学,62,良,37 μg/m3,72 μg/m3,PM10
株洲市监测站,59,良,41 μg/m3,66 μg/m3,PM10
株洲火车站,56,良,39 μg/m3,54 μg/m3,PM2.5
株洲天台山庄,56,良,-,61 μg/m3,PM10
株洲大京风景区,55,良,38 μg/m3,57 μg/m3,PM2.5
株洲株冶医院,52,良,34 μg/m3,52 μg/m3,PM10
淄博双山,72,良,46 μg/m3,92 μg/m3,PM10
淄博东风化工厂,66,良,34 μg/m3,81 μg/m3,PM10
淄博人民公园,65,良,42 μg/m3,78 μg/m3,PM10
淄博三金集团,59,良,36 μg/m3,67 μg/m3,PM10
淄博莆田园,58,良,41 μg/m3,62 μg/m3,PM2.5
淄博气象站,108,轻度污染,81 μg/m3,99 μg/m3,PM2.5
自贡大塘山,58,良,41 μg/m3,52 μg/m3,PM2.5
自贡春华路,53,良,28 μg/m3,54 μg/m3,PM10
自贡青杠林路,41,优,19 μg/m3,40 μg/m3,
自贡檀木林体育馆,37,优,22 μg/m3,36 μg/m3,
资阳四三一厂,47,优,11 μg/m3,46 μg/m3,
资阳中学,37,优,4 μg/m3,36 μg/m3,
资阳区法院,31,优,11 μg/m3,30 μg/m3,
资阳师范校,24,优,12 μg/m3,24 μg/m3,
资阳莲花山,18,优,3 μg/m3,18 μg/m3,
遵义舟水桥,56,良,20 μg/m3,61 μg/m3,PM10
遵义忠庄,45,优,27 μg/m3,44 μg/m3,
遵义干田坝,43,优,22 μg/m3,42 μg/m3,
遵义凤凰山,40,优,19 μg/m3,39 μg/m3,
遵义丁字口,38,优,25 μg/m3,37 μg/m3,
