监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
吐鲁番地区市环保局,35,优,11 μg/m3,34 μg/m3,
吐鲁番地区地区环保局,29,优,8 μg/m3,28 μg/m3,
乌鲁木齐米东区环保局,76,良,56 μg/m3,-,PM2.5
乌鲁木齐三十一中学,44,优,12 μg/m3,43 μg/m3,
乌鲁木齐铁路局,42,优,11 μg/m3,41 μg/m3,
乌鲁木齐收费所,33,优,11 μg/m3,32 μg/m3,
乌鲁木齐监测站,28,优,6 μg/m3,27 μg/m3,
乌鲁木齐培训基地,-,-,-,-,-
乌鲁木齐新疆农科院农场,-,-,-,-,-
无锡黄巷,46,优,23 μg/m3,45 μg/m3,
无锡漆塘,44,优,14 μg/m3,43 μg/m3,
无锡荣巷,38,优,25 μg/m3,37 μg/m3,
无锡堰桥,37,优,17 μg/m3,36 μg/m3,
无锡曹张,33,优,20 μg/m3,32 μg/m3,
无锡东亭,32,优,15 μg/m3,31 μg/m3,
无锡雪浪,29,优,16 μg/m3,28 μg/m3,
无锡旺庄,-,-,-,-,-
温州瓯海,32,优,17 μg/m3,31 μg/m3,
温州市站,29,优,15 μg/m3,28 μg/m3,
温州南浦,24,优,14 μg/m3,24 μg/m3,
温州龙湾,20,优,14 μg/m3,19 μg/m3,
威海市监测站,50,优,35 μg/m3,44 μg/m3,
威海华夏技校,45,优,15 μg/m3,44 μg/m3,
威海山大分校,41,优,29 μg/m3,35 μg/m3,
潍坊环保局,76,良,56 μg/m3,89 μg/m3,PM2.5
潍坊坊子邮政,72,良,49 μg/m3,93 μg/m3,PM10
潍坊仲裁委,69,良,46 μg/m3,86 μg/m3,PM10
潍坊七中,62,良,38 μg/m3,72 μg/m3,PM10
潍坊寒亭监测站,57,良,38 μg/m3,63 μg/m3,PM10
渭南体育馆,62,良,22 μg/m3,72 μg/m3,PM10
渭南日报社,56,良,19 μg/m3,61 μg/m3,PM10
渭南农科所,49,优,28 μg/m3,48 μg/m3,
渭南高新一小,-,-,-,-,-
文登市丝绸公司,53,良,26 μg/m3,54 μg/m3,PM10
文登市环保局,50,优,25 μg/m3,49 μg/m3,
乌海聚英学校,57,良,32 μg/m3,63 μg/m3,PM10
乌海市林业局,52,良,26 μg/m3,53 μg/m3,PM10
乌海中海勃湾学校,47,优,30 μg/m3,46 μg/m3,
武汉民族大道182号,53,良,28 μg/m3,54 μg/m3,PM10
武汉沌口新区,51,良,32 μg/m3,51 μg/m3,PM10
武汉武昌紫阳,51,良,8 μg/m3,51 μg/m3,PM10
武汉青山钢花,50,优,28 μg/m3,49 μg/m3,
